league_abbrev,league_name,strength
E0,Premier League,85.9
I1,Serie A,84.2
D1,Bundesliga,84.0
SP1,LaLiga,83.5
F1,Ligue 1,83.1
BRA,Serie A,80.1
P1,Liga Portugal,78.6
EGY,Premier League,70.1
USA,MLS,77.0
NZ,National League,61.3
ARG,Liga Professional,76.8
TUN,Ligue 1,67.3
MEX,Liga MX,75.5
JAP,J. League,74.2
SA,PSL,68.6
KOR,K League 1,74.7
UAE,Pro League,67.5
MOR,Botola Pro,71.4
KSA,Pro League,72.6
AUT,Bundesliga,74.4
NED,Eredivisie,76.2
SUI,Super League,74.7
TUR,Super Lig,74.8
BEL,Pro League,77.3
UKR,Premier League,69.3
SWE,Allsvenskan,73.7
RUS,Premier League,73.9
PER,Primera Division,67.8
BOL,Primera Division,69.9
COL,Primera A,72.6
ECU,Serie A,71.7
VEN,Primera Division,64.6
PAR,Division Profesional,72.4
CHI,Primera Division,71.8
URU,Primera Division,72.5
LAT,Virsliga,63.9
