DATE,HOME_TEAM,AWAY_TEAM,HOME_LEAGUE_ID,AWAY_LEAGUE_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,RESULT,HOME_TARGET,AWAY_TARGET,HOME_FOULS,AWAY_FOULS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOW,AWAY_YELLOW,HOME_RED,AWAY_RED
6/14/2025,Al Ahly,Inter Miami,EGY,USA,0,0,D,8,6,11,10,4,10,1,4,0,0
6/15/2025,Bayern Munich,Auckland City,D1,NZ,10,0,H,17,1,11,4,10,2,0,0,0,0
6/15/2025,Paris SG,Ath Madrid,F1,SP1,4,0,H,11,1,7,8,4,2,2,7,0,1
6/15/2025,Palmeiras,Porto,BRA,P1,0,0,D,5,3,20,12,4,4,2,2,0,0
6/15/2025,Botafogo RJ,Seattle Sounders,BRA,USA,2,1,H,6,5,18,6,0,4,2,2,0,0
6/16/2025,Chelsea,Los Angeles FC,E0,USA,2,0,H,6,4,11,11,7,1,3,2,0,0
6/16/2025,Boca Juniors,Benfica,ARG,P1,2,2,D,2,3,13,8,4,7,2,2,2,1
6/16/2025,Flamengo RJ,Esperance,BRA,TUN,2,0,H,4,2,20,19,3,3,1,4,0,0
6/17/2025,Fluminense,Dortmund,BRA,D1,0,0,D,5,3,12,9,7,3,2,2,0,0
6/17/2025,River Plate,Urawa Reds,ARG,JAP,3,1,H,5,6,12,14,1,1,4,2,0,0
6/17/2025,Ulsan,Mamelodi Sundowns,KOR,SA,0,1,A,3,2,7,2,9,5,1,1,0,0
6/17/2025,Monterrey,Inter,MEX,I1,1,1,D,1,2,6,10,4,6,1,3,0,0
6/18/2025,Man City,Wydad Casablanca,E0,MOR,2,0,H,6,2,10,10,9,4,0,1,1,0
6/18/2025,Real Madrid,Al Hilal,SP1,KSA,1,1,D,7,2,9,10,5,6,1,3,0,0
6/18/2025,Pachuca,Salzburg,MEX,AUT,1,2,A,6,5,12,9,7,2,1,0,0,0
6/18/2025,Al-Ain,Juventus,UAE,I1,0,5,A,5,7,5,14,3,5,1,4,0,0
