iter	Accuracy	Logloss
0	0.6273339349	0.6851204299
1	0.628722149	0.6781660168
2	0.633164434	0.6711723976
3	0.6341361838	0.6660485276
4	0.636426737	0.6612837407
5	0.6367737905	0.6563956235
6	0.6380231832	0.6523998456
7	0.6383702367	0.6493264453
8	0.6378843618	0.6464393725
9	0.6387867009	0.64410637
10	0.640174915	0.6420803899
11	0.6392725758	0.63992508
12	0.6393419865	0.6382171392
13	0.6395502186	0.6365862123
14	0.6392725758	0.6351589834
15	0.6394808079	0.6339719093
16	0.6384396474	0.6329935383
17	0.6383702367	0.6320664606
18	0.6378149511	0.6310430686
19	0.6389255223	0.6302134911
20	0.6389255223	0.6293479507
21	0.6398972722	0.6285957287
22	0.6406607899	0.6280204132
23	0.6417713611	0.627061104
24	0.6430901645	0.6263421453
25	0.6422572361	0.6256426061
26	0.6423266468	0.6250934001
27	0.6426042896	0.6244613395
28	0.6425348789	0.6236103772
29	0.6428819324	0.6231047301
30	0.6442701465	0.6226173452
31	0.6448948428	0.6220527548
32	0.6461442354	0.6214687812
33	0.6462136461	0.6212093209
34	0.6462830568	0.6209182696
35	0.6468383425	0.6206580804
36	0.6464218783	0.6204353493
37	0.6469771639	0.61981427
38	0.6473242174	0.6193935783
39	0.6485736101	0.6190042673
40	0.6491983064	0.6185339962
41	0.6498230027	0.6182341284
42	0.6492677171	0.6177630001
43	0.6494759492	0.6174981526
44	0.6491288957	0.6171526928
45	0.6505865204	0.6166919375
46	0.6510723954	0.6162796742
47	0.650933574	0.6161586271
48	0.6518359131	0.6157699056
49	0.6517665024	0.6154433003
50	0.6516970917	0.6153143264
51	0.6520441452	0.615163635
52	0.6515582703	0.6147850556
53	0.6521135559	0.6145043494
54	0.6519747345	0.613962412
55	0.6520441452	0.6136941879
56	0.6531547165	0.6135384487
57	0.6532935379	0.6130928893
58	0.6531547165	0.6125797722
59	0.6534323593	0.612369528
60	0.6533629486	0.6121400183
61	0.6533629486	0.6117983255
62	0.6538488235	0.6114498078
63	0.6541264663	0.6111213735
64	0.6543346984	0.6110452888
65	0.6536405914	0.6108462632
66	0.6551676268	0.6106073779
67	0.6552370376	0.6103759349
68	0.6556535018	0.6100503564
69	0.6563476088	0.6098246116
70	0.656764073	0.6093904423
71	0.6580828764	0.6090915436
72	0.657944055	0.6089354015
73	0.6578746443	0.6087958326
74	0.6582216978	0.608555052
75	0.6587769834	0.608392792
76	0.6591934476	0.6080420888
77	0.6592628583	0.6079243848
78	0.6594016797	0.6075321006
79	0.6600263761	0.6071119707
80	0.6603040189	0.6069050747
81	0.6606510724	0.6067296469
82	0.6604428403	0.6065024671
83	0.660512251	0.6063488942
84	0.6600957868	0.606047969
85	0.660512251	0.6057498144
86	0.6617616436	0.6053917942
87	0.6618310543	0.6052260048
88	0.6622475186	0.6049878797
89	0.66238634	0.6046846904
90	0.6634969112	0.6041779268
91	0.6639133754	0.603848617
92	0.6635663219	0.6037130672
93	0.6635663219	0.6032295632
94	0.664260429	0.6030921847
95	0.6643298397	0.6028146588
96	0.6648851253	0.6025375423
97	0.6650239467	0.6023742417
98	0.6650239467	0.6022070981
99	0.6647463039	0.6020546723
100	0.6652321788	0.6017342723
101	0.665648643	0.6015191429
102	0.6657874644	0.6012139952
103	0.6661345179	0.6009095168
104	0.6662039286	0.6008156204
105	0.6654404109	0.6006646236
106	0.6655792323	0.6004298932
107	0.6658568751	0.6001613401
108	0.6661345179	0.5999047543
109	0.6673839106	0.5995253197
110	0.6672450892	0.5993356083
111	0.6676615534	0.5990279806
112	0.6679391962	0.5988814864
113	0.6680086069	0.5986858858
114	0.6676615534	0.598465134
115	0.668216839	0.5982267341
116	0.6681474283	0.5980652302
117	0.6684250711	0.5977988909
118	0.6684944818	0.5977250768
119	0.6685638926	0.5976324424
120	0.6688415354	0.5974243884
121	0.6689109461	0.5972277733
122	0.6692579996	0.5968542156
123	0.6691885889	0.596752378
124	0.6694662317	0.5965992191
125	0.6698826959	0.596352943
126	0.6701603387	0.5960832384
127	0.6706462136	0.5956759571
128	0.6713403207	0.5955035429
129	0.67127091	0.5954554587
130	0.6714097314	0.5953391151
131	0.6712014993	0.5951067615
132	0.6716179635	0.5949927674
133	0.6716179635	0.5948570111
134	0.6714097314	0.5945403193
135	0.6716873742	0.5943689425
136	0.6720344277	0.5940644674
137	0.6724508919	0.5937924721
138	0.6732838204	0.5934883987
139	0.6736308739	0.5933892068
140	0.6734226418	0.5931818964
141	0.6734226418	0.5931610627
142	0.6728673561	0.5929187408
143	0.6741167488	0.5924028959
144	0.6743249809	0.5921308345
145	0.6743249809	0.5921091208
146	0.6743249809	0.5920928701
147	0.673839106	0.5918517586
148	0.6747414451	0.591522118
149	0.6747414451	0.5915059544
150	0.6743943916	0.5913420312
151	0.6746026237	0.5910414704
152	0.674533213	0.5905901436
153	0.674533213	0.590348514
154	0.6750884986	0.5901816163
155	0.6749496772	0.5898483547
156	0.6747414451	0.5895501152
157	0.6759214271	0.589201026
158	0.6759908378	0.5891813077
159	0.676407302	0.589011804
160	0.676407302	0.5889863583
161	0.6771708197	0.5887367001
162	0.6772402304	0.588424101
163	0.6769625876	0.588174732
164	0.6773096411	0.5879633144
165	0.6776566947	0.5877464171
166	0.6773790518	0.5874940076
167	0.677101409	0.5872796614
168	0.6774484626	0.5868846528
169	0.6776566947	0.5865856822
170	0.677587284	0.5863271574
171	0.6775178733	0.586153295
172	0.6774484626	0.5860864157
173	0.6775178733	0.5857988937
174	0.6774484626	0.5856739564
175	0.6777261054	0.5854501529
176	0.6777955161	0.585185
177	0.6777955161	0.5850829699
178	0.678975498	0.5847529786
179	0.6799472479	0.5844534753
180	0.6798084265	0.5840312005
181	0.6804331228	0.5837655165
182	0.6812660512	0.5834688838
183	0.6810578191	0.5830636268
184	0.6810578191	0.5830474749
185	0.6811966405	0.5828041317
186	0.6814742833	0.5825536353
187	0.6813354619	0.582260789
188	0.6828624974	0.5819885938
189	0.6829319081	0.5817034757
190	0.6832095509	0.5816527089
191	0.6833483723	0.5813407136
192	0.6833483723	0.5811431989
193	0.6836954258	0.5808372024
194	0.6838342472	0.5805109107
195	0.6844589436	0.5802572458
196	0.6848059971	0.5799144001
197	0.6848059971	0.5799015565
198	0.6846671757	0.5796809121
199	0.6850836399	0.5793367858
200	0.6855001041	0.5791012044
201	0.6864024433	0.5787064792
202	0.6866106754	0.5784455873
203	0.687165961	0.5780784271
204	0.6868189075	0.5779130368
205	0.6870271396	0.5776865559
206	0.6872353717	0.5774152871
207	0.6876518359	0.5770418501
208	0.6876518359	0.5767227292
209	0.6885541751	0.5766114899
210	0.6885541751	0.5765885968
211	0.6881377108	0.5764102302
212	0.6887624072	0.5760017509
213	0.689734157	0.5757187191
214	0.6894565142	0.5754888339
215	0.6894565142	0.5754630396
216	0.6905670854	0.5752642845
217	0.6907059069	0.5748323036
218	0.6902200319	0.5746401302
219	0.6907753176	0.5745094692
220	0.6907059069	0.5743268779
221	0.6907753176	0.574322656
222	0.6910529604	0.574276865
223	0.6909835497	0.5742561285
224	0.6909835497	0.5742520355
225	0.6911917818	0.5740772979
226	0.6910529604	0.5738193271
227	0.6909835497	0.5736515352
228	0.6919552995	0.5732342127
229	0.6918164781	0.5730823233
230	0.6918164781	0.5730757571
231	0.6918164781	0.5728737983
232	0.6926494065	0.5725794013
233	0.6927188172	0.5723651366
234	0.6927882279	0.5723441927
235	0.6927188172	0.5721941159
236	0.6929964601	0.5719696612
237	0.6927188172	0.5716767189
238	0.6927882279	0.571369346
239	0.6930658708	0.5711204139
240	0.6929964601	0.5709808135
241	0.6932046922	0.5707515861
242	0.6939682099	0.5704278812
243	0.6940376206	0.5702409212
244	0.6943846741	0.5699819377
245	0.6943152634	0.5697931301
246	0.6939682099	0.5695546875
247	0.6940376206	0.5693911388
248	0.6935517457	0.5690535396
249	0.6941070313	0.5686858648
250	0.6943152634	0.5684484331
251	0.6942458527	0.568279533
252	0.6942458527	0.5680510286
253	0.694870549	0.567856152
254	0.6950093704	0.5677138625
255	0.6955646561	0.5674186167
256	0.695356424	0.5672714321
257	0.6961199417	0.5669003092
258	0.6959811203	0.5666062154
259	0.6963975845	0.56638017
260	0.6963975845	0.5663737049
261	0.6963975845	0.5662855245
262	0.6966058166	0.5661216334
263	0.6964669952	0.5659281258
264	0.6966752273	0.5657102624
265	0.6966058166	0.56564363
266	0.6969528701	0.5653771945
267	0.6970916915	0.5652320472
268	0.6981328521	0.5649385553
269	0.698618727	0.5646515634
270	0.6986881377	0.5644338058
271	0.6988269591	0.5641578705
272	0.6991046019	0.56397816
273	0.6991740126	0.5639642006
274	0.6991740126	0.5636755655
275	0.6993822447	0.5633520143
276	0.7000763518	0.5631851385
277	0.6997292983	0.5629622431
278	0.7003539946	0.5627460949
279	0.7003539946	0.5627320795
280	0.7002845839	0.5626630173
281	0.7002151732	0.5626527688
282	0.7002151732	0.5624733813
283	0.7006316374	0.5623399568
284	0.7005622267	0.5621443442
285	0.7011175123	0.5619599629
286	0.7012563337	0.5616864814
287	0.7014645658	0.5615728842
288	0.7016033872	0.5612836547
289	0.7016033872	0.5612726662
290	0.7015339765	0.5611048651
291	0.7018116194	0.560953508
292	0.7021586729	0.5607433165
293	0.7021586729	0.5607372916
294	0.7027833692	0.5605597792
295	0.7026445478	0.5604292705
296	0.7026445478	0.5604254882
297	0.7033386548	0.5602147492
298	0.7038245297	0.559991743
299	0.7041021726	0.5597918081
300	0.7041021726	0.5597807873
301	0.704240994	0.5596058321
302	0.7050045117	0.5594083735
303	0.7053515652	0.5591218924
304	0.705629208	0.5588769246
305	0.7061844936	0.5585612302
306	0.7061844936	0.5583591137
307	0.7069480114	0.5579082225
308	0.7059762615	0.5576077041
309	0.7063927258	0.5574866396
310	0.7066703686	0.5574006503
311	0.7069480114	0.5571687988
312	0.7073644756	0.5569562065
313	0.7075727077	0.5568345148
314	0.7071562435	0.5566521794
315	0.70680919	0.5564850064
316	0.7071562435	0.5562089859
317	0.7076421184	0.5560477005
318	0.7083362254	0.5557379994
319	0.7086138683	0.5554784344
320	0.7087526897	0.5553467892
321	0.7084750469	0.5551996802
322	0.7097938502	0.5548298753
323	0.7097244395	0.5547183496
324	0.7092385646	0.5545834778
325	0.7091691539	0.5543496509
326	0.7090997432	0.554091475
327	0.7102797251	0.553927481
328	0.7101409037	0.5536270092
329	0.7102797251	0.553270506
330	0.7109738322	0.5529036508
331	0.7118761713	0.5525649404
332	0.7115985285	0.5525564139
333	0.7120149927	0.5523486443
334	0.7118761713	0.5522202976
335	0.7115291178	0.5519630838
336	0.7127785104	0.5516287331
337	0.7134032068	0.5513538654
338	0.7134032068	0.5511047776
339	0.7132643854	0.5508568768
340	0.7134032068	0.5507332063
341	0.7135420282	0.5505968892
342	0.7136114389	0.5504712427
343	0.7138890817	0.5501958272
344	0.7138890817	0.55018891
345	0.7140973138	0.5500140536
346	0.7143055459	0.549792722
347	0.7147220101	0.549684909
348	0.7152772958	0.5494937267
349	0.7154161172	0.5491127184
350	0.7154855279	0.548925843
351	0.7161796349	0.5486532543
352	0.7160408135	0.5484012547
353	0.7166655098	0.5482633044
354	0.7167349205	0.5479168082
355	0.7165960991	0.5477515736
356	0.7167349205	0.5476364958
357	0.7166655098	0.5476290693
358	0.7171513847	0.5473186127
359	0.7176372597	0.5471050536
360	0.7174984383	0.5469077998
361	0.7180537239	0.5466368055
362	0.7188172416	0.5464957077
363	0.7188172416	0.5463137062
364	0.7191642951	0.5460484682
365	0.7190948844	0.5459045529
366	0.7191642951	0.5457617424
367	0.7195113486	0.5455607633
368	0.7190254737	0.5453437951
369	0.7191642951	0.5450750442
370	0.7199278129	0.5448115873
371	0.7197889915	0.5446709274
372	0.7202054557	0.5444294923
373	0.7200666343	0.5442826251
374	0.7204830985	0.5439142055
375	0.7208995627	0.5436703057
376	0.7205525092	0.5434642081
377	0.7215936697	0.5431116235
378	0.7222183661	0.5428100337
379	0.7222183661	0.5425677344
380	0.7227736517	0.5423912212
381	0.7227736517	0.5421510748
382	0.7223571875	0.5418041741
383	0.7226348303	0.5416794015
384	0.7224265982	0.5415097442
385	0.722010134	0.5413059395
386	0.7229124731	0.5410288617
387	0.7229818838	0.5408869172
388	0.7231901159	0.5407443951
389	0.7230512945	0.5406091485
390	0.7231207052	0.5404902536
391	0.7230512945	0.5402566514
392	0.7231901159	0.5401048873
393	0.7230512945	0.5400278216
394	0.7232595266	0.5399002145
395	0.723398348	0.5398805708
396	0.7233289373	0.5397194993
397	0.7232595266	0.5395451147
398	0.7246477407	0.5391836875
399	0.7246477407	0.5391581856
400	0.7247865621	0.5389851005
401	0.7252030263	0.5387228454
402	0.7249947942	0.5386380422
403	0.725272437	0.5384383998
404	0.7256889012	0.5382195722
405	0.7258971333	0.538090283
406	0.7257583119	0.5379139239
407	0.725272437	0.5376425
408	0.7256194905	0.5374538899
409	0.7258277226	0.5371726955
410	0.726452419	0.5370753044
411	0.7270077046	0.5369063332
412	0.7267300618	0.5367542238
413	0.7279794544	0.5364129665
414	0.7285347401	0.5361852417
415	0.7291594364	0.5359565127
416	0.7290900257	0.5359471501
417	0.7288817936	0.5358804675
418	0.7290900257	0.5358102602
419	0.7291594364	0.5356240837
420	0.7292288471	0.5355329602
421	0.729020615	0.5353153275
422	0.7292982578	0.5351634015
423	0.7295759006	0.5349267313
424	0.7295759006	0.5349098316
425	0.7295759006	0.5349010518
426	0.729714722	0.5347317155
427	0.7295759006	0.5346223072
428	0.7292288471	0.534513703
429	0.7292982578	0.5343425458
430	0.7293676685	0.5341374034
431	0.7290900257	0.5339885415
432	0.7289512043	0.533956462
433	0.7292982578	0.5337017642
434	0.7295064899	0.5335262962
435	0.7294370792	0.5333421355
436	0.7300617755	0.5330991863
437	0.7299229541	0.5330426796
438	0.7299229541	0.5328372852
439	0.7303394183	0.5325876244
440	0.7315194003	0.5323626768
441	0.7313111682	0.532316335
442	0.7313111682	0.5323084545
443	0.7311029361	0.5321424163
444	0.7311029361	0.5321395223
445	0.7311723468	0.5320236794
446	0.7313805789	0.5319352157
447	0.7317970431	0.5317495146
448	0.7319358645	0.5316117619
449	0.7314499896	0.5315459128
450	0.7315194003	0.5314202377
451	0.7314499896	0.5312226905
452	0.7317970431	0.531160631
453	0.7324911501	0.5308704063
454	0.7324217394	0.5307292095
455	0.732282918	0.5305586488
456	0.7325605608	0.5303385367
457	0.7323523287	0.5301598955
458	0.7326299715	0.5299380925
459	0.7326993822	0.5298111799
460	0.7331158465	0.5295965305
461	0.7333934893	0.529487991
462	0.7337405428	0.5291705875
463	0.7340875963	0.5288875271
464	0.7347817033	0.5286750403
465	0.734851114	0.5285784508
466	0.7350593462	0.5282856608
467	0.735336989	0.5281473649
468	0.7356146318	0.5279057433
469	0.7361699174	0.5275878425
470	0.7358922746	0.5274213681
471	0.7361005067	0.5272520425
472	0.7362393281	0.5270086552
473	0.7361699174	0.5269755432
474	0.7362393281	0.5268764823
475	0.7359616853	0.5266977897
476	0.7361005067	0.5265589833
477	0.7361005067	0.526551454
478	0.7367946137	0.5264335369
479	0.7365169709	0.5262030662
480	0.7372804887	0.5259519705
