iter	Passed	Remaining
0	41	20924
1	56	14123
2	63	10556
3	76	9472
4	86	8541
5	93	7695
6	100	7045
7	107	6603
8	113	6177
9	120	5889
10	125	5599
11	131	5367
12	139	5209
13	145	5041
14	151	4912
15	157	4771
16	163	4644
17	170	4562
18	176	4464
19	182	4382
20	189	4318
21	195	4249
22	202	4201
23	209	4156
24	216	4118
25	224	4092
26	231	4061
27	238	4019
28	244	3970
29	252	3952
30	258	3908
31	264	3872
32	271	3841
33	277	3800
34	284	3776
35	290	3739
36	297	3718
37	303	3687
38	309	3653
39	315	3631
40	321	3601
41	327	3572
42	334	3550
43	339	3521
44	346	3503
45	352	3476
46	358	3454
47	366	3446
48	372	3427
49	378	3409
50	384	3385
51	390	3366
52	397	3355
53	404	3339
54	411	3327
55	417	3307
56	423	3292
57	430	3281
58	437	3268
59	443	3252
60	449	3236
61	455	3219
62	463	3213
63	469	3196
64	475	3180
65	481	3164
66	487	3147
67	494	3140
68	501	3131
69	508	3124
70	515	3117
71	523	3111
72	529	3098
73	535	3084
74	544	3083
75	551	3075
76	559	3072
77	565	3059
78	573	3056
79	579	3044
80	586	3034
81	593	3024
82	599	3012
83	606	3002
84	613	2993
85	620	2987
86	627	2977
87	637	2983
88	646	2983
89	653	2978
90	660	2968
91	666	2956
92	673	2948
93	680	2938
94	687	2929
95	693	2918
96	699	2908
97	707	2901
98	713	2889
99	720	2882
100	727	2872
101	733	2863
102	740	2852
103	745	2840
104	752	2832
105	759	2821
106	765	2811
107	772	2803
108	779	2796
109	787	2791
110	793	2780
111	799	2771
112	806	2760
113	811	2749
114	818	2740
115	824	2730
116	830	2719
117	837	2710
118	843	2699
119	849	2689
120	855	2678
121	860	2667
122	867	2657
123	872	2646
124	878	2635
125	884	2625
126	890	2615
127	896	2605
128	902	2595
129	909	2588
130	915	2579
131	923	2573
132	929	2564
133	935	2554
134	940	2543
135	948	2539
136	955	2531
137	962	2525
138	968	2516
139	975	2507
140	980	2497
141	986	2486
142	993	2480
143	999	2471
144	1005	2462
145	1011	2452
146	1016	2441
147	1023	2433
148	1028	2423
149	1034	2412
150	1042	2409
151	1049	2402
152	1056	2395
153	1062	2386
